TIB L1	0.841	0.000
TIB L2	0.841	0.000
TIB L3	0.886	0.000
TIB L4	0.883	0.000
TOB L1	0.845	0.000
TOB L2	0.857	0.000
TOB L3	0.899	0.000
TOB L4	0.923	0.000
TOB L5	0.933	0.000
TID D1	0.852	0.000
TID D2	0.841	0.000
TID D3	0.840	0.000
TEC D1	0.896	0.000
TEC D2	0.876	0.000
TEC D3	0.858	0.000
TEC D4	0.861	0.000
TEC D5	0.882	0.000
TEC D6	0.885	0.000
TEC D7	0.874	0.000
TEC D8	0.904	0.000
